n1,n2,weight
58160,80646,-1
39792,57969,1
39793,39425,1
39794,39425,1
39795,39425,1
39796,39426,1
39797,39424,1
39798,57901,1
39799,57901,1
39800,57901,1
39801,57901,1
39802,39423,1
58161,57900,-1
39803,39423,1
39804,57901,1
39805,39425,1
39806,57902,1
39807,57902,1
39808,57902,1
39809,39427,1
58163,39804,-1
58162,57901,-1
39810,39423,1
39811,39531,1
58164,57928,-1
39812,39446,1
58165,39396,-1
58165,57885,-1
58165,39397,-1
58165,39395,-1
58166,57967,-1
58166,57965,-1
58166,57966,-1
58167,39408,-1
39813,57969,1
39814,39428,1
39815,39428,1
58168,57902,-1
58169,57902,-1
58170,39438,-1
58171,39514,-1
58172,57997,-1
58173,57997,-1
58174,39469,-1
39816,39533,1
39817,58038,1
39817,58037,1
58175,57902,-1
39818,39431,1
39819,39428,1
39820,39428,1
39821,39428,1
39822,39428,1
39823,58025,1
39823,39520,1
58176,58025,-1
58176,39520,-1
39824,39432,1
39824,57907,1
39825,57907,1
39825,39432,1
39826,57907,1
39826,39432,1
39827,57907,1
39827,39432,1
39828,57907,1
39828,39432,1
39829,39432,1
39829,57907,1
58177,39432,-1
58177,57907,-1
39830,39520,1
39830,58025,1
39831,39521,1
39831,58026,1
58178,58026,-1
58178,39521,-1
39832,39491,1
39833,57909,1
39834,57909,1
39835,39439,1
39836,39439,1
39837,39439,1
39838,39439,1
39839,39439,1
39840,39439,1
39841,39448,1
39842,57978,1
39843,57978,1
39844,39488,1
39845,39440,1
58179,39444,-1
39846,39440,1
39847,39440,1
58181,39717,-1
58180,39422,-1
39848,57971,1
39849,58045,1
39850,39428,1
58182,39453,-1
39851,57926,1
39852,57926,1
39853,57927,1
39854,39448,1
39855,39448,1
39856,39447,1
39857,39448,1
39858,39447,1
39859,39449,1
39860,39447,1
39861,39447,1
39862,39449,1
58183,57928,-1
39863,39446,1
39864,39450,1
58184,39513,-1
39865,57969,1
39866,57985,1
39867,57929,1
39868,57929,1
39869,39461,1
58185,39437,-1
39870,57978,1
39871,39512,1
39872,39485,1
58186,57937,-1
39873,39453,1
58187,57974,-1
58188,39531,-1
39874,39431,1
39875,39431,1
39876,39456,1
39877,39455,1
39878,39451,1
39879,39453,1
39880,39452,1
39881,39453,1
39882,39452,1
39883,39452,1
39884,39455,1
39885,39451,1
39886,39451,1
39887,39456,1
39888,39455,1
39889,39453,1
39890,39451,1
39891,39451,1
39892,39451,1
39893,39451,1
39894,39451,1
39895,39451,1
39896,39451,1
39897,39451,1
39898,39452,1
39899,39451,1
39900,39431,1
39901,39456,1
39902,39456,1
39903,39453,1
58189,39455,-1
39904,57937,1
39905,39452,1
39906,39452,1
39907,39452,1
39908,39452,1
39909,39452,1
39910,39454,1
39911,39454,1
39912,39454,1
39913,39431,1
39914,39454,1
39915,39455,1
39916,39453,1
39917,58046,1
39918,58045,1
39919,39455,1
39920,39457,1
58190,39454,-1
39921,57890,1
39922,57890,1
58191,57928,-1
39923,39446,1
39924,39461,1
39925,39462,1
39926,39462,1
39927,39460,1
39928,39492,1
39929,39414,1
39930,57952,1
39931,57951,1
39932,57951,1
39933,57951,1
39934,57869,1
58192,57997,-1
58193,57966,-1
58193,57965,-1
58193,57967,-1
58194,39469,-1
58195,39467,-1
58196,57967,-1
58196,57965,-1
58196,57966,-1
58197,57956,-1
58198,39466,-1
58199,39497,-1
58200,39495,-1
58201,39468,-1
58202,39468,-1
58203,57963,-1
58204,57956,-1
58205,57968,-1
39935,39492,1
58206,58036,-1
39936,58041,1
58207,39455,-1
58208,39422,-1
58209,39717,-1
58211,57896,-1
58210,58039,-1
39937,39456,1
39938,39456,1
39939,39456,1
39940,39456,1
39941,57972,1
39942,57972,1
58212,57957,-1
58212,57958,-1
58212,57960,-1
58212,57959,-1
58212,57961,-1
58212,57962,-1
58214,39488,-1
58213,39844,-1
39943,57890,1
39944,57969,1
58215,39502,-1
58216,80646,-1
58217,58363,-1
58218,57891,-1
39945,57973,1
39946,57973,1
58219,57974,-1
58220,57974,-1
58221,57903,-1
58222,57900,-1
39947,57978,1
39948,39474,1
39949,39474,1
39950,39478,1
58223,57977,-1
39951,39476,1
39952,39477,1
39953,39477,1
58224,57978,-1
39954,39477,1
58225,39961,-1
58226,39474,-1
58227,39474,-1
58228,39474,-1
58231,39957,-1
58231,58235,-1
58230,39949,-1
58233,39961,-1
58232,39966,-1
58234,58083,-1
58229,39948,-1
39955,39474,1
39956,39474,1
58235,58143,-1
39957,39478,1
58236,57977,-1
39958,39476,1
39959,39475,1
58237,57977,-1
39960,39476,1
39961,39478,1
39962,39478,1
39963,39478,1
39964,39477,1
58238,57977,-1
39965,39476,1
39966,39474,1
58239,39478,-1
39967,57978,1
39968,58023,1
39968,58024,1
58240,39415,-1
39969,39416,1
39970,39531,1
58241,57862,-1
58242,39388,-1
58243,39407,-1
58244,39483,-1
39971,58021,1
39972,58021,1
39973,57929,1
39974,57974,1
39975,57982,1
39976,57971,1
39977,39426,1
58245,57928,-1
39978,39446,1
58246,39402,-1
58246,39403,-1
58246,39401,-1
58246,57887,-1
58247,57981,-1
58248,39987,-1
58249,39488,-1
39979,58038,1
39979,58037,1
39980,39507,1
39981,39506,1
39982,39544,1
58250,57880,-1
58251,39443,-1
39983,39533,1
39984,57939,1
39985,39493,1
39986,39390,1
39987,39488,1
39988,39490,1
39989,39490,1
39990,39510,1
39991,39510,1
39992,39510,1
39993,39510,1
39994,58039,1
39995,57972,1
39996,57970,1
58252,58032,-1
39997,39489,1
58253,57987,-1
39998,39493,1
58254,57987,-1
39999,39493,1
40000,58018,1
40000,58014,1
40000,58016,1
40000,58015,1
40000,58017,1
40001,58790,1
40002,57986,1
40003,58734,1
40003,58735,1
40004,39489,1
58256,58735,-1
58256,58734,-1
58255,57986,-1
40005,39494,1
58257,58734,-1
58257,58735,-1
58258,57986,-1
40006,39494,1
40007,39494,1
58260,57986,-1
58259,58734,-1
58259,58735,-1
58262,57986,-1
58261,58734,-1
58261,58735,-1
40008,39494,1
58263,57987,-1
40009,39493,1
40010,39489,1
40011,39489,1
40012,57970,1
58265,39493,-1
58266,58254,-1
58266,39999,-1
58264,40011,-1
40013,57987,1
40014,57868,1
40015,57868,1
40016,58028,1
40016,39523,1
40017,39495,1
58267,58036,-1
40018,57867,1
40019,39511,1
40020,57900,1
40021,57900,1
58268,39518,-1
58268,39517,-1
58269,39518,-1
58269,39517,-1
40022,58024,1
40022,58023,1
58270,58021,-1
40023,39390,1
58271,39421,-1
58272,39421,-1
58273,40128,-1
58274,58035,-1
40024,58039,1
40025,80607,1
40026,80607,1
40027,39532,1
40028,57991,1
58276,40034,-1
58275,80643,-1
40029,58039,1
40030,80643,1
58277,58039,-1
58278,57896,-1
40031,80643,1
40032,80643,1
40033,80607,1
40034,80643,1
40035,39390,1
58279,58092,-1
58280,39475,-1
58281,57881,-1
58282,57992,-1
58283,39408,-1
40036,39491,1
40037,58010,1
40038,58010,1
58284,57925,-1
58285,57882,-1
40039,58024,1
40039,58023,1
58286,57989,-1
58286,57990,-1
58287,39695,-1
40040,39492,1
40041,58000,1
40042,57999,1
58288,39402,-1
58288,39401,-1
58288,57887,-1
58288,39403,-1
40043,58028,1
40043,39523,1
40044,57939,1
40045,39532,1
40046,39532,1
40047,39532,1
58289,58019,-1
58290,39441,-1
58291,58033,-1
58292,39456,-1
58293,39444,-1
58294,58011,-1
58295,57891,-1
58296,57967,-1
58296,57965,-1
58296,57966,-1
58297,57966,-1
58297,57965,-1
58297,57967,-1
40048,39391,1
40049,39390,1
58298,57989,-1
58298,57990,-1
58299,58771,-1
58300,57967,-1
58300,57966,-1
58300,57965,-1
58301,40056,-1
40050,39504,1
40051,39506,1
40052,58004,1
40053,58004,1
40054,58004,1
40055,58004,1
40056,58003,1
40057,58003,1
58302,40056,-1
40058,39504,1
40059,58002,1
40060,58002,1
40061,58002,1
40062,58002,1
40063,58002,1
40064,39544,1
40065,58005,1
40066,57866,1
40067,58003,1
58303,40056,-1
40068,39504,1
58304,57928,-1
40069,39446,1
40070,57974,1
40071,39473,1
58305,39410,-1
58306,58011,-1
40073,58049,1
40072,40167,1
58307,57997,-1
58308,57966,-1
58308,57967,-1
58308,57965,-1
58309,80663,-1
40075,39512,1
40074,39513,1
40076,39512,1
58310,80645,-1
58311,80645,-1
58312,80645,-1
58313,80645,-1
40077,58022,1
40078,58022,1
40079,57971,1
58314,39790,-1
40080,57917,1
58315,39729,-1
40081,57917,1
58316,57958,-1
58316,57957,-1
58316,57960,-1
58316,57961,-1
58316,57959,-1
58316,57962,-1
58317,57957,-1
58317,57961,-1
58317,57962,-1
58317,57958,-1
58317,57959,-1
58317,57960,-1
58318,57891,-1
58319,39443,-1
58320,58030,-1
40082,58790,1
40083,58016,1
40083,58017,1
40083,58015,1
40083,58014,1
