key, n_sentences, n_pro_relations, n_cons_relations, avg_out_pro_deg, avg_out_cons_deg, max_out_pro_deg, max_out_cons_deg, avg_in_pro_deg, avg_in_cons_deg, max_in_pro_deg, max_in_cons_deg, avg_depth, max_depth, min_label_size, avg_label_size, max_label_size, min_descr_size, avg_descr_size, max_descr_size
"kl0", 4622, 2391, 2521, 0.5173085244482911, 0.5454348766767647, 4, 4, 0.5170921678926882, 0.5452185201211611, 15, 12, 10.451968844656017, 29, 12, 183.04608394634354, 501, 0, 0.0, 0
"kl1", 180, 91, 93, 0.5055555555555555, 0.5166666666666664, 2, 2, 0.5055555555555555, 0.5166666666666667, 7, 9, 3.233333333333333, 7, 43, 262.3277777777778, 500, 0, 0.0, 0
"kl2", 253, 197, 66, 0.7786561264822137, 0.2608695652173913, 2, 1, 0.7786561264822134, 0.26086956521739124, 6, 4, 3.984189723320158, 8, 47, 158.0237154150196, 397, 0, 0.0, 0
"kl3", 258, 210, 79, 0.813953488372093, 0.3062015503875967, 3, 3, 0.8139534883720936, 0.30620155038759694, 6, 5, 3.689922480620154, 8, 46, 163.7868217054262, 336, 0, 0.0, 0
"kl4", 1141, 527, 728, 0.46187554776511824, 0.6380368098159505, 3, 5, 0.45749342681857996, 0.6345311130587206, 16, 14, 4.197195442594215, 11, 5, 170.75460122699377, 499, 0, 0.0, 0
"kl5", 17820, 7909, 11435, 0.4438271604938265, 0.6416947250280567, 10, 9, 0.44354657687990956, 0.6413580246913627, 17, 18, 15.194556677890075, 30, 5, 172.92542087542006, 501, 0, 0.0, 0
"kl6", 1515, 668, 969, 0.4409240924092412, 0.6396039603960393, 3, 5, 0.43630363036303604, 0.6356435643564365, 16, 14, 6.881848184818473, 15, 5, 163.9108910891086, 499, 0, 0.0, 0
"kl7", 256, 171, 108, 0.6679687500000002, 0.42187499999999983, 4, 3, 0.66796875, 0.42187500000000006, 6, 4, 3.64453125, 7, 45, 170.95703125000006, 435, 0, 0.0, 0
"kl8", 715, 433, 358, 0.6055944055944052, 0.5006993006993008, 3, 3, 0.6055944055944061, 0.5006993006993008, 8, 7, 4.24195804195804, 10, 33, 159.27552447552452, 500, 0, 0.0, 0
"kl9", 103, 59, 45, 0.5728155339805824, 0.436893203883495, 2, 1, 0.5728155339805825, 0.43689320388349523, 10, 8, 2.3689320388349513, 5, 29, 97.77669902912619, 446, 0, 0.0, 0
"kl10", 769, 399, 439, 0.5188556566970092, 0.5708712613784137, 5, 4, 0.5188556566970082, 0.5708712613784137, 9, 7, 5.308192457737321, 11, 21, 163.92847854356293, 497, 0, 0.0, 0
"kl11", 1294, 627, 784, 0.48454404945904206, 0.605873261205564, 5, 3, 0.48454404945904206, 0.6058732612055637, 11, 15, 5.653013910355497, 16, 23, 166.015455950541, 469, 0, 0.0, 0
"kl12", 836, 452, 575, 0.5406698564593301, 0.6877990430622016, 6, 12, 0.54066985645933, 0.6877990430622012, 9, 11, 3.976076555023925, 9, 21, 201.5478468899521, 498, 0, 0.0, 0
"kl13", 867, 482, 475, 0.5559400230680512, 0.5478662053056516, 3, 3, 0.5559400230680511, 0.5478662053056518, 8, 7, 4.97462514417532, 12, 27, 148.8396770472895, 486, 0, 0.0, 0
"kl14", 651, 355, 360, 0.5453149001536095, 0.5529953917050691, 4, 6, 0.5453149001536096, 0.5529953917050693, 16, 11, 3.377880184331801, 7, 26, 160.18125960061442, 501, 0, 0.0, 0
"kl15", 291, 210, 95, 0.721649484536082, 0.3264604810996565, 3, 2, 0.7216494845360827, 0.3264604810996563, 5, 5, 4.010309278350522, 8, 38, 168.47766323024058, 410, 0, 0.0, 0
"kl16", 529, 203, 353, 0.3837429111531189, 0.6672967863894134, 3, 3, 0.38374291115311915, 0.6672967863894139, 8, 11, 3.47069943289225, 8, 28, 178.338374291115, 498, 0, 0.0, 0
"kl17", 316, 183, 170, 0.5791139240506328, 0.5379746835443039, 3, 2, 0.5791139240506328, 0.5379746835443038, 6, 6, 3.3481012658227893, 8, 39, 179.15189873417725, 495, 0, 0.0, 0
"kl18", 299, 227, 116, 0.7591973244147152, 0.3879598662207359, 3, 2, 0.7591973244147159, 0.3879598662207358, 5, 5, 3.698996655518395, 8, 33, 138.64548494983276, 495, 0, 0.0, 0
"kl19", 284, 135, 157, 0.4753521126760566, 0.5528169014084506, 2, 3, 0.4753521126760565, 0.5528169014084506, 8, 7, 3.338028169014083, 9, 31, 186.82042253521126, 490, 0, 0.0, 0
"kl20", 3493, 1508, 2259, 0.43172058402519253, 0.6467220154594904, 5, 7, 0.4317205840251937, 0.646722015459491, 10, 12, 6.104208416833669, 17, 14, 196.7380475236186, 501, 0, 0.0, 0
"kl21", 409, 162, 257, 0.39608801955990214, 0.6283618581907093, 2, 2, 0.3960880195599021, 0.6283618581907089, 12, 10, 3.0171149144254237, 7, 26, 150.90953545232261, 497, 0, 0.0, 0
"kl22", 861, 419, 500, 0.4866434378629494, 0.580720092915214, 2, 6, 0.4866434378629501, 0.5807200929152154, 9, 7, 4.2113821138211325, 9, 29, 168.97560975609724, 498, 0, 0.0, 0
"kl23", 521, 252, 344, 0.4836852207293669, 0.6602687140115161, 5, 5, 0.48368522072936665, 0.6602687140115161, 9, 8, 3.5777351247600793, 9, 34, 192.03454894433764, 500, 0, 0.0, 0
"kl24", 62, 21, 42, 0.33870967741935487, 0.6774193548387099, 1, 2, 0.33870967741935465, 0.6774193548387096, 5, 6, 2.1451612903225805, 4, 29, 149.38709677419354, 483, 0, 0.0, 0
"kl25", 629, 419, 240, 0.6661367249602551, 0.3815580286168518, 3, 2, 0.6661367249602546, 0.381558028616852, 7, 4, 4.642289348171699, 9, 34, 154.1160572337043, 367, 0, 0.0, 0
"wd0", 133, 73, 59, 0.5488721804511274, 0.44360902255639095, 1, 1, 0.5488721804511282, 0.44360902255639123, 73, 59, 0.9924812030075187, 1, 0, 0.1428571428571429, 19, 0, 0.7894736842105265, 105
"wd1", 156, 27, 139, 0.17307692307692307, 0.891025641025641, 1, 4, 0.17307692307692302, 0.8910256410256411, 8, 10, 2.5448717948717943, 5, 17, 60.705128205128204, 140, 0, 69.7435897435897, 1924
"wd2", 4, 2, 1, 0.5, 0.25, 1, 1, 0.5, 0.25, 2, 1, 0.75, 1, 25, 58.5, 103, 0, 84.75, 339
"wd3", 189, 77, 117, 0.40740740740740733, 0.6190476190476188, 1, 2, 0.4074074074074074, 0.6190476190476192, 8, 6, 2.465608465608466, 4, 21, 65.4708994708994, 127, 0, 97.24338624338624, 953
"wd4", 80, 23, 57, 0.2875, 0.7124999999999998, 1, 1, 0.2875000000000001, 0.7124999999999998, 8, 12, 1.9125000000000005, 4, 28, 69.31249999999996, 154, 0, 185.78749999999997, 1616
"wd5", 19, 7, 12, 0.368421052631579, 0.6315789473684211, 1, 2, 0.3684210526315789, 0.631578947368421, 7, 4, 1.4210526315789473, 3, 29, 62.26315789473684, 107, 0, 311.42105263157896, 1895
